Setup:AdaptivePass
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency: 5.106990GHz

Capacitance Matrix
	a_connector_pad_Q2	b_connector_pad_Q2	c_connector_pad_Q2	cl_metal_Q2	d_connector_pad_Q2	ground_main_plane	pad_bot_Q2	pad_top_Q2
a_connector_pad_Q2	51.40952	-0.37654	-0.58575	-0.00974	-0.16204	-34.36968	-13.50009	-1.49803
b_connector_pad_Q2	-0.37654	51.41744	-0.16200	-0.01118	-0.58254	-34.36426	-1.50474	-13.50438
c_connector_pad_Q2	-0.58575	-0.16200	51.38463	-0.05370	-0.37605	-34.31367	-13.49286	-1.49703
cl_metal_Q2	-0.00974	-0.01118	-0.05370	15.94377	-0.15415	-15.38032	-0.10835	-0.15121
d_connector_pad_Q2	-0.16204	-0.58254	-0.37605	-0.15415	51.48480	-34.28866	-1.50442	-13.50438
ground_main_plane	-34.36968	-34.36426	-34.31367	-15.38032	-34.28866	271.68302	-30.07801	-30.02652
pad_bot_Q2	-13.50009	-1.50474	-13.49286	-0.10835	-1.50442	-30.07801	86.23568	-23.77326
pad_top_Q2	-1.49803	-13.50438	-1.49703	-0.15121	-13.50438	-30.02652	-23.77326	86.25688

Conductance Matrix
	a_connector_pad_Q2	b_connector_pad_Q2	c_connector_pad_Q2	cl_metal_Q2	d_connector_pad_Q2	ground_main_plane	pad_bot_Q2	pad_top_Q2
a_connector_pad_Q2	00.00000	00.00000	00.00000	00.00000	00.00000	000.00000	000.00000	00.00000
b_connector_pad_Q2	00.00000	00.00000	00.00000	00.00000	00.00000	000.00000	00.00000	000.00000
c_connector_pad_Q2	00.00000	00.00000	00.00000	00.00000	00.00000	000.00000	000.00000	00.00000
cl_metal_Q2	00.00000	00.00000	00.00000	00.00000	00.00000	000.00000	00.00000	00.00000
d_connector_pad_Q2	00.00000	00.00000	00.00000	00.00000	00.00000	000.00000	00.00000	000.00000
ground_main_plane	00.00000	00.00000	00.00000	00.00000	00.00000	000.00000	000.00000	00.00000
pad_bot_Q2	00.00000	00.00000	00.00000	00.00000	00.00000	000.00000	000.00000	00.00000
pad_top_Q2	00.00000	00.00000	00.00000	00.00000	00.00000	000.00000	000.00000	00.00000
