"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]","re(Mode(3)) [g]"
1,3.61833968856148,30.3624778023757,39.8159364021096
2,6.25203678956498,44.6481917030348,50.2322391307883
3,6.38270564470872,45.2179838470071,50.2744331666038
4,6.62874977743481,45.8435805363249,50.1345035299201
5,6.68228958454871,46.327732054612,50.105767561735
6,6.69334155232087,46.5943623245982,50.0888198604902
7,6.69962252839514,46.9019788251396,50.0695882469642
8,6.71033843415228,47.1772200014441,50.058742038311
9,6.72917031983098,47.3681555416863,50.0447327950408
10,6.74075449118981,47.3911290739629,50.0394242159864
